Entity,Code,Year,Fossil fuels - % electricity
Albania,ALB,2013,0.0
Albania,ALB,2014,0.0
Albania,ALB,2015,0.0
Albania,ALB,2016,0.0
Albania,ALB,2017,0.0
Albania,ALB,2018,0.0
Albania,ALB,2019,0.0
Albania,ALB,2020,0.0
Albania,ALB,2021,0.0
Albania,ALB,2022,0.0
Albania,ALB,2023,0.0
Armenia,ARM,2013,42.3231
Armenia,ARM,2014,43.6919
Armenia,ARM,2015,37.08609
Armenia,ARM,2016,36.338028
Armenia,ARM,2017,38.11421
Armenia,ARM,2018,44.53228
Armenia,ARM,2019,40.720963
Armenia,ARM,2020,41.49215
Armenia,ARM,2021,43.782387
Armenia,ARM,2022,39.271255
Armenia,ARM,2023,43.005783
Austria,AUT,2013,21.766071
Austria,AUT,2014,18.440292
Austria,AUT,2015,22.968597
Austria,AUT,2016,21.2579
Austria,AUT,2017,23.908186
Austria,AUT,2018,22.59162
Austria,AUT,2019,22.704765
Austria,AUT,2020,19.727694
Austria,AUT,2021,20.850174
Austria,AUT,2022,21.841574
Austria,AUT,2023,15.286804
Azerbaijan,AZE,2013,93.29032
Azerbaijan,AZE,2014,94.43768
Azerbaijan,AZE,2015,93.0403
Azerbaijan,AZE,2016,91.58954
Azerbaijan,AZE,2017,92.23782
Azerbaijan,AZE,2018,92.24036
Azerbaijan,AZE,2019,93.10212
Azerbaijan,AZE,2020,94.87379
Azerbaijan,AZE,2021,94.5304
Azerbaijan,AZE,2022,93.64202
Azerbaijan,AZE,2023,93.468544
Belarus,BLR,2013,99.04792
Belarus,BLR,2014,99.16522
Belarus,BLR,2015,99.00264
Belarus,BLR,2016,98.71909
Belarus,BLR,2017,97.73979
Belarus,BLR,2018,97.92254
Belarus,BLR,2019,97.42956
Belarus,BLR,2020,95.61494
Belarus,BLR,2021,82.909096
Belarus,BLR,2022,84.02367
Belarus,BLR,2023,70.00918
Belgium,BEL,2013,33.66687
Belgium,BEL,2014,35.519665
Belgium,BEL,2015,40.756977
Belgium,BEL,2016,31.479067
Belgium,BEL,2017,32.001408
Belgium,BEL,2018,38.053337
Belgium,BEL,2019,32.063866
Belgium,BEL,2020,34.44331
Belgium,BEL,2021,26.481537
Belgium,BEL,2022,27.584013
Belgium,BEL,2023,26.496351
Bosnia and Herzegovina,BIH,2013,58.028988
Bosnia and Herzegovina,BIH,2014,65.12038
Bosnia and Herzegovina,BIH,2015,66.22033
Bosnia and Herzegovina,BIH,2016,68.32299
Bosnia and Herzegovina,BIH,2017,76.47784
Bosnia and Herzegovina,BIH,2018,65.65286
Bosnia and Herzegovina,BIH,2019,63.318024
Bosnia and Herzegovina,BIH,2020,70.81596
Bosnia and Herzegovina,BIH,2021,60.999454
Bosnia and Herzegovina,BIH,2022,67.951065
Bosnia and Herzegovina,BIH,2023,60.81802
Bulgaria,BGR,2013,50.999535
Bulgaria,BGR,2014,50.426258
Bulgaria,BGR,2015,50.461918
Bulgaria,BGR,2016,48.753647
Bulgaria,BGR,2017,51.65031
Bulgaria,BGR,2018,45.15158
Bulgaria,BGR,2019,44.99085
Bulgaria,BGR,2020,39.960144
Bulgaria,BGR,2021,43.24439
Bulgaria,BGR,2022,48.110584
Bulgaria,BGR,2023,34.579903
Croatia,HRV,2013,33.42898
Croatia,HRV,2014,25.986597
Croatia,HRV,2015,33.096085
Croatia,HRV,2016,33.65079
Croatia,HRV,2017,39.50722
Croatia,HRV,2018,27.662722
Croatia,HRV,2019,33.992096
Croatia,HRV,2020,35.37415
Croatia,HRV,2021,30.311052
Croatia,HRV,2022,36.524822
Croatia,HRV,2023,30.237959
Cyprus,CYP,2013,92.30769
Cyprus,CYP,2014,92.85715
Cyprus,CYP,2015,91.18942
Cyprus,CYP,2016,91.20655
Cyprus,CYP,2017,91.4
Cyprus,CYP,2018,90.51383
Cyprus,CYP,2019,89.902916
Cyprus,CYP,2020,87.62887
Cyprus,CYP,2021,84.76563
Cyprus,CYP,2022,83.26996
Cyprus,CYP,2023,79.849335
Czechia,CZE,2013,53.381443
Czechia,CZE,2014,53.51847
Czechia,CZE,2015,56.055283
Czechia,CZE,2016,59.158535
Czechia,CZE,2017,55.72528
Czechia,CZE,2018,54.686783
Czechia,CZE,2019,52.9748
Czechia,CZE,2020,49.588017
Czechia,CZE,2021,50.549843
Czechia,CZE,2022,50.08957
Czechia,CZE,2023,45.178738
Denmark,DNK,2013,53.886158
Denmark,DNK,2014,43.851437
Denmark,DNK,2015,34.22516
Denmark,DNK,2016,39.50658
Denmark,DNK,2017,29.44984
Denmark,DNK,2018,31.314135
Denmark,DNK,2019,21.45046
Denmark,DNK,2020,17.949615
Denmark,DNK,2021,20.71689
Denmark,DNK,2022,18.519577
Denmark,DNK,2023,12.993177
Estonia,EST,2013,90.73795
Estonia,EST,2014,88.83534
Estonia,EST,2015,84.63055
Estonia,EST,2016,86.93508
Estonia,EST,2017,85.866264
Estonia,EST,2018,83.9127
Estonia,EST,2019,71.879105
Estonia,EST,2020,51.151314
Estonia,EST,2021,60.08345
Estonia,EST,2022,68.00895
Estonia,EST,2023,50.256413
Finland,FIN,2013,30.900927
Finland,FIN,2014,26.784142
Finland,FIN,2015,21.614925
Finland,FIN,2016,22.021818
Finland,FIN,2017,20.09775
Finland,FIN,2018,21.78556
Finland,FIN,2019,18.743622
Finland,FIN,2020,14.471405
Finland,FIN,2021,14.325336
Finland,FIN,2022,11.320494
Finland,FIN,2023,6.0311995
France,FRA,2013,9.30039
France,FRA,2014,6.3216257
France,FRA,2015,7.8151665
France,FRA,2016,10.13528
France,FRA,2017,11.765446
France,FRA,2018,8.58656
France,FRA,2019,9.477258
France,FRA,2020,9.174851
France,FRA,2021,8.872741
France,FRA,2022,12.881812
France,FRA,2023,8.187948
Georgia,GEO,2013,17.935873
Georgia,GEO,2014,19.825073
Georgia,GEO,2015,22.139536
Georgia,GEO,2016,19.495214
Georgia,GEO,2017,19.493008
Georgia,GEO,2018,17.524916
Georgia,GEO,2019,23.946037
Georgia,GEO,2020,25.268818
Georgia,GEO,2021,18.829115
Georgia,GEO,2022,23.789474
Georgia,GEO,2023,23.958334
Germany,DEU,2013,60.41862
Germany,DEU,2014,58.131718
Germany,DEU,2015,56.20414
Germany,DEU,2016,57.32635
Germany,DEU,2017,54.690746
Germany,DEU,2018,52.721893
Germany,DEU,2019,47.301235
Germany,DEU,2020,44.266434
Germany,DEU,2021,47.88971
Germany,DEU,2022,49.504303
Germany,DEU,2023,45.25669
Greece,GRC,2013,74.52545
Greece,GRC,2014,75.453445
Greece,GRC,2015,70.91087
Greece,GRC,2016,72.34399
Greece,GRC,2017,74.81752
Greece,GRC,2018,69.32143
Greece,GRC,2019,66.423355
Greece,GRC,2020,63.06041
Greece,GRC,2021,59.199852
Greece,GRC,2022,56.55119
Greece,GRC,2023,50.276466
Hungary,HUN,2013,40.039642
Hungary,HUN,2014,35.99864
Hungary,HUN,2015,37.1909
Hungary,HUN,2016,39.460476
Hungary,HUN,2017,40.52248
Hungary,HUN,2018,39.157566
Hungary,HUN,2019,38.768963
Hungary,HUN,2020,38.201607
Hungary,HUN,2021,36.565098
Hungary,HUN,2022,34.404697
Hungary,HUN,2023,28.828827
Iceland,ISL,2013,0.0
Iceland,ISL,2014,0.0
Iceland,ISL,2015,0.0
Iceland,ISL,2016,0.0
Iceland,ISL,2017,0.0
Iceland,ISL,2018,0.0
Iceland,ISL,2019,0.0
Iceland,ISL,2020,0.0
Iceland,ISL,2021,0.0
Iceland,ISL,2022,0.0
Iceland,ISL,2023,0.0
Ireland,IRL,2013,77.95615
Ireland,IRL,2014,75.21334
Ireland,IRL,2015,71.96861
Ireland,IRL,2016,75.132454
Ireland,IRL,2017,71.037186
Ireland,IRL,2018,66.990295
Ireland,IRL,2019,61.608597
Ireland,IRL,2020,57.898033
Ireland,IRL,2021,63.26789
Ireland,IRL,2022,61.112766
Ireland,IRL,2023,55.038265
Italy,ITA,2013,60.841904
Italy,ITA,2014,56.35917
Italy,ITA,2015,61.069
Italy,ITA,2016,62.22766
Italy,ITA,2017,64.4322
Italy,ITA,2018,60.004894
Italy,ITA,2019,60.057247
Italy,ITA,2020,57.768867
Italy,ITA,2021,59.252518
Italy,ITA,2022,64.143196
Italy,ITA,2023,55.422653
Kazakhstan,KAZ,2013,91.65317
Kazakhstan,KAZ,2014,91.260704
Kazakhstan,KAZ,2015,89.68791
Kazakhstan,KAZ,2016,87.34151
Kazakhstan,KAZ,2017,88.71218
Kazakhstan,KAZ,2018,89.82941
Kazakhstan,KAZ,2019,89.583916
Kazakhstan,KAZ,2020,89.00857
Kazakhstan,KAZ,2021,89.059784
Kazakhstan,KAZ,2022,88.2944
Kazakhstan,KAZ,2023,87.25325
Kosovo,OWID_KOS,2013,97.85276
Kosovo,OWID_KOS,2014,97.23758
Kosovo,OWID_KOS,2015,97.70867
Kosovo,OWID_KOS,2016,95.8194
Kosovo,OWID_KOS,2017,96.95946
Kosovo,OWID_KOS,2018,94.92387
Kosovo,OWID_KOS,2019,95.11811
Kosovo,OWID_KOS,2020,94.62687
Kosovo,OWID_KOS,2021,93.4877
Kosovo,OWID_KOS,2022,93.4877
Kosovo,OWID_KOS,2023,90.67103
Latvia,LVA,2013,43.064518
Latvia,LVA,2014,45.52529
Latvia,LVA,2015,49.819496
Latvia,LVA,2016,45.79439
Latvia,LVA,2017,27.490038
Latvia,LVA,2018,48.06548
Latvia,LVA,2019,50.46584
Latvia,LVA,2020,36.363636
Latvia,LVA,2021,36.41026
Latvia,LVA,2022,24.055666
Latvia,LVA,2023,22.291994
Lithuania,LTU,2013,63.48449
Lithuania,LTU,2014,59.07859
Lithuania,LTU,2015,60.283688
Lithuania,LTU,2016,42.148758
Lithuania,LTU,2017,28.932585
Lithuania,LTU,2018,24.657534
Lithuania,LTU,2019,26.047905
Lithuania,LTU,2020,45.319153
Lithuania,LTU,2021,39.069763
Lithuania,LTU,2022,25.247524
Lithuania,LTU,2023,16.506718
Luxembourg,LUX,2013,80.434784
Luxembourg,LUX,2014,79.057594
Luxembourg,LUX,2015,67.910446
Luxembourg,LUX,2016,41.772152
Luxembourg,LUX,2017,33.333336
Luxembourg,LUX,2018,29.166668
Luxembourg,LUX,2019,25.233644
Luxembourg,LUX,2020,20.491802
Luxembourg,LUX,2021,19.512194
Luxembourg,LUX,2022,14.166666
Luxembourg,LUX,2023,10.791368
Malta,MLT,2013,98.23009
Malta,MLT,2014,96.44445
Malta,MLT,2015,92.3077
Malta,MLT,2016,83.72093
Malta,MLT,2017,89.696976
Malta,MLT,2018,89.84771
Malta,MLT,2019,89.85508
Malta,MLT,2020,88.372086
Malta,MLT,2021,87.83784
Malta,MLT,2022,86.95652
Malta,MLT,2023,86.38298
Moldova,MDA,2013,93.12637
Moldova,MDA,2014,93.85475
Moldova,MDA,2015,95.5298
Moldova,MDA,2016,95.89744
Moldova,MDA,2017,93.75
Moldova,MDA,2018,94.05204
Moldova,MDA,2019,93.49737
Moldova,MDA,2020,94.17476
Moldova,MDA,2021,93.393394
Moldova,MDA,2022,90.431526
Moldova,MDA,2023,87.92079
Montenegro,MNE,2013,36.548225
Montenegro,MNE,2014,44.79495
Montenegro,MNE,2015,50.333332
Montenegro,MNE,2016,41.40127
Montenegro,MNE,2017,54.83871
Montenegro,MNE,2018,40.789474
Montenegro,MNE,2019,43.731777
Montenegro,MNE,2020,47.78761
Montenegro,MNE,2021,38.19629
Montenegro,MNE,2022,46.827793
Montenegro,MNE,2023,38.86256
Netherlands,NLD,2013,85.093475
Netherlands,NLD,2014,84.58374
Netherlands,NLD,2015,83.695755
Netherlands,NLD,2016,83.55563
Netherlands,NLD,2017,82.04929
Netherlands,NLD,2018,80.20336
Netherlands,NLD,2019,77.75093
Netherlands,NLD,2020,69.80978
Netherlands,NLD,2021,63.427155
Netherlands,NLD,2022,56.515568
Netherlands,NLD,2023,49.359886
North Macedonia,MKD,2013,73.891624
North Macedonia,MKD,2014,76.02231
North Macedonia,MKD,2015,64.07079
North Macedonia,MKD,2016,63.23268
North Macedonia,MKD,2017,76.96429
North Macedonia,MKD,2018,65.062386
North Macedonia,MKD,2019,77.172066
North Macedonia,MKD,2020,72.28464
North Macedonia,MKD,2021,70.16275
North Macedonia,MKD,2022,72.89562
North Macedonia,MKD,2023,67.72793
Norway,NOR,2013,2.0429623
Norway,NOR,2014,2.0868824
Norway,NOR,2015,2.0489511
Norway,NOR,2016,1.9455516
Norway,NOR,2017,1.8817022
Norway,NOR,2018,1.9802659
Norway,NOR,2019,2.0623178
Norway,NOR,2020,1.4839294
Norway,NOR,2021,0.6809648
Norway,NOR,2022,1.3546968
Norway,NOR,2023,1.5306454
Poland,POL,2013,89.58359
Poland,POL,2014,87.46448
Poland,POL,2015,86.189896
Poland,POL,2016,86.25904
Poland,POL,2017,85.79836
Poland,POL,2018,87.23957
Poland,POL,2019,84.40142
Poland,POL,2020,82.03627
Poland,POL,2021,82.907326
Poland,POL,2022,78.89697
Poland,POL,2023,72.76376
Portugal,PRT,2013,41.46971
Portugal,PRT,2014,39.054054
Portugal,PRT,2015,52.366055
Portugal,PRT,2016,45.300594
Portugal,PRT,2017,60.7918
Portugal,PRT,2018,49.59726
Portugal,PRT,2019,46.87985
Portugal,PRT,2020,41.408836
Portugal,PRT,2021,35.920357
Portugal,PRT,2022,40.40578
Portugal,PRT,2023,25.503355
Romania,ROU,2013,45.402992
Romania,ROU,2014,40.23414
Romania,ROU,2015,42.38501
Romania,ROU,2016,40.423542
Romania,ROU,2017,43.65754
Romania,ROU,2018,41.36101
Romania,ROU,2019,38.887
Romania,ROU,2020,34.64952
Romania,ROU,2021,35.758198
Romania,ROU,2022,36.59116
Romania,ROU,2023,30.553116
Russia,RUS,2013,66.5606
Russia,RUS,2014,66.64443
Russia,RUS,2015,65.86295
Russia,RUS,2016,64.95871
Russia,RUS,2017,64.30437
Russia,RUS,2018,64.24599
Russia,RUS,2019,63.760998
Russia,RUS,2020,60.184998
Russia,RUS,2021,61.74562
Russia,RUS,2022,63.25347
Russia,RUS,2023,63.803947
Serbia,SRB,2013,73.94851
Serbia,SRB,2014,67.01556
Serbia,SRB,2015,73.104546
Serbia,SRB,2016,71.872574
Serbia,SRB,2017,74.50604
Serbia,SRB,2018,70.27544
Serbia,SRB,2019,71.48671
Serbia,SRB,2020,72.673485
Serbia,SRB,2021,66.4976
Serbia,SRB,2022,71.81401
Serbia,SRB,2023,65.305084
Slovakia,SVK,2013,22.526316
Slovakia,SVK,2014,19.867306
Slovakia,SVK,2015,20.36063
Slovakia,SVK,2016,20.149254
Slovakia,SVK,2017,21.152445
Slovakia,SVK,2018,22.543137
Slovakia,SVK,2019,22.26161
Slovakia,SVK,2020,21.816906
Slovakia,SVK,2021,24.242422
Slovakia,SVK,2022,18.085909
Slovakia,SVK,2023,15.204875
Slovenia,SVN,2013,34.113922
Slovenia,SVN,2014,24.373177
Slovenia,SVN,2015,32.432434
Slovenia,SVN,2016,33.579792
Slovenia,SVN,2017,33.14642
Slovenia,SVN,2018,31.761784
Slovenia,SVN,2019,31.65513
Slovenia,SVN,2020,29.36649
Slovenia,SVN,2021,28.479795
Slovenia,SVN,2022,27.544912
Slovenia,SVN,2023,23.47267
Spain,ESP,2013,40.261494
Spain,ESP,2014,38.941116
Spain,ESP,2015,44.337406
Spain,ESP,2016,39.689693
Spain,ESP,2017,46.409428
Spain,ESP,2018,41.179073
Spain,ESP,2019,41.098625
Spain,ESP,2020,33.67634
Spain,ESP,2021,32.66482
Spain,ESP,2022,36.792618
Spain,ESP,2023,28.03745
Sweden,SWE,2013,2.5354507
Sweden,SWE,2014,1.908049
Sweden,SWE,2015,1.9444445
Sweden,SWE,2016,2.3478093
Sweden,SWE,2017,2.1128905
Sweden,SWE,2018,2.2404506
Sweden,SWE,2019,1.989075
Sweden,SWE,2020,1.4898034
Sweden,SWE,2021,1.7813482
Sweden,SWE,2022,1.664259
Sweden,SWE,2023,1.3999038
Switzerland,CHE,2013,2.9553063
Switzerland,CHE,2014,2.6398401
Switzerland,CHE,2015,2.815196
Switzerland,CHE,2016,3.5024552
Switzerland,CHE,2017,3.3416457
Switzerland,CHE,2018,2.866194
Switzerland,CHE,2019,2.692362
Switzerland,CHE,2020,2.7303257
Switzerland,CHE,2021,2.726264
Switzerland,CHE,2022,2.5757332
Switzerland,CHE,2023,2.6192172
Turkey,TUR,2013,71.176346
Turkey,TUR,2014,79.11491
Turkey,TUR,2015,68.044464
Turkey,TUR,2016,67.11371
Turkey,TUR,2017,70.654915
Turkey,TUR,2018,67.7428
Turkey,TUR,2019,56.20295
Turkey,TUR,2020,57.83775
Turkey,TUR,2021,64.59985
Turkey,TUR,2022,58.08897
Turkey,TUR,2023,57.99118
Ukraine,UKR,2013,49.416065
Ukraine,UKR,2014,46.08905
Ukraine,UKR,2015,42.124878
Ukraine,UKR,2016,45.18775
Ukraine,UKR,2017,38.195335
Ukraine,UKR,2018,39.05292
Ukraine,UKR,2019,38.452057
Ukraine,UKR,2020,36.97138
Ukraine,UKR,2021,30.65097
Ukraine,UKR,2022,28.406672
Ukraine,UKR,2023,29.570517
United Kingdom,GBR,2013,65.44044
United Kingdom,GBR,2014,62.062237
United Kingdom,GBR,2015,54.643375
United Kingdom,GBR,2016,54.37821
United Kingdom,GBR,2017,49.964523
United Kingdom,GBR,2018,47.5009
United Kingdom,GBR,2019,46.21993
United Kingdom,GBR,2020,41.314705
United Kingdom,GBR,2021,45.546288
United Kingdom,GBR,2022,43.215736
United Kingdom,GBR,2023,38.419834
